param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.1,0.0009765625,366.761342,4.553920775833506,240.8047841960624,4.774721395249019,68.92,0.7346654567443152,169.04,2.0108754814806913,334.14,3.927500040185431,538.01,8.840774395899485,724.37,14.288496856711081,100
0.1,0.0013810679320049757,377.72156,4.995165989368262,248.82922318266554,5.580213703417291,68.57,0.764391221426528,171.59,2.030330370688823,346.41,4.309399991046118,556.17,8.705786476925459,741.04,16.475031123037386,100
0.1,0.001953125,372.48179400000004,5.516666363827112,242.28195986567087,5.550668880416741,71.29,0.812316179672408,171.3,2.134398408370978,342.34,4.86787490190597,545.87,10.55695141754111,725.19,15.297862100584018,100
0.1,0.0027621358640099515,372.521254,5.1814807230614495,240.53541047627704,5.270915048511733,71.26,0.6869078717283885,175.38,1.8411009003453682,344.43,4.391181590139009,540.15,8.612656589888717,732.56,16.378184060857087,100
0.1,0.00390625,383.49589,5.213353612426167,245.34484879390774,5.303603989504145,74.63,0.8267809060849596,182.89,1.9267335104269143,358.95,4.837759206638352,552.32,8.544770744186591,747.12,16.95239490247006,100
0.1,0.005524271728019903,389.970754,5.230949813679653,247.65285470795473,6.053962652761321,76.94,0.6716209849868804,186.43,1.8392057464508362,366.75,3.8252054807156397,566.75,8.72033933868506,754.62,18.642434379553535,100
0.1,0.0078125,392.372316,4.913474489078137,240.7991790088111,5.252847569787995,81.55,0.7011354427576094,191.6,1.689838914084877,377.94,4.433431760128622,563.39,7.6544289021573535,735.51,16.07516118335076,100
0.1,0.011048543456039806,376.426902,4.9486653128893145,220.71529833344786,5.035406840352599,84.92,0.5833861447955325,194.17,1.697238101068077,365.95,3.7901620391255415,545.86,8.577984741314374,686.64,14.972031298795804,100
0.1,0.015625,350.759942,3.477405648541952,194.49275985134912,3.5620471885261877,86.42,0.5369536217581478,190.6,1.1877319018646721,349.7,2.8862789297997624,503.42,5.673083354532591,616.9,9.896540564839572,100
0.1,0.02209708691207961,315.299278,2.374789745468636,165.49793352621714,2.1766841245933555,89.16,0.5206289902171655,181.34,1.0871350542883926,313.77,2.2789265149640214,448.99,4.560469030459233,540.06,6.051376335640972,100
0.1,0.03125,263.07596,1.650282686687283,129.72295077059027,1.4069584782678706,85.43,0.39625902150135606,159.46,0.7169548398778283,263.39,1.4940890268662108,365.97,2.7827192209467095,438.4,4.055872410481006,100
